     79/99     8.69G   0.01785  0.003387         0   0.02123        20       320    0.9563    0.9077    0.9739    0.6965   0.01796  0.002562         0
     80/99     8.69G   0.01729  0.003337         0   0.02063        11       320    0.9563    0.9081    0.9745    0.6958   0.01795  0.002563         0
     81/99     8.69G   0.01772  0.003365         0   0.02108        10       320    0.9574    0.9062    0.9746    0.6962   0.01796  0.002565         0
     82/99     8.69G   0.01719   0.00331         0    0.0205         7       320    0.9603    0.9032    0.9745    0.6959   0.01796  0.002568         0
     83/99     8.69G   0.01732  0.003283         0    0.0206         9       320    0.9588     0.904    0.9746    0.6964   0.01797  0.002569         0
     84/99     8.69G   0.01694  0.003278         0   0.02021        14       320     0.954    0.9077    0.9746    0.6965   0.01798  0.002572         0
     85/99     8.69G   0.01714  0.003265         0    0.0204        16       320    0.9549    0.9069    0.9743    0.6963     0.018  0.002575         0
     86/99     8.69G    0.0169   0.00326         0   0.02016        13       320    0.9537    0.9077     0.974     0.696   0.01801  0.002578         0
     87/99     8.69G   0.01717  0.003269         0   0.02044        15       320    0.9511    0.9095    0.9738    0.6963   0.01802  0.002582         0
     88/99     8.69G     0.017  0.003253         0   0.02025        15       320    0.9347    0.9234    0.9739    0.6958   0.01803  0.002585         0
     89/99     8.69G   0.01706  0.003256         0   0.02032        11       320    0.9407    0.9168    0.9739    0.6956   0.01804  0.002587         0
     90/99     8.69G   0.01684  0.003247         0   0.02008         4       320    0.9397    0.9187     0.974    0.6949   0.01805  0.002591         0
     91/99     8.69G   0.01643  0.003205         0   0.01964        18       320    0.9393    0.9194    0.9739    0.6948   0.01806  0.002595         0
     92/99     8.69G   0.01657  0.003209         0   0.01978        18       320    0.9387    0.9198     0.973    0.6946   0.01808  0.002599         0
     93/99     8.69G   0.01649  0.003192         0   0.01968        13       320    0.9374    0.9208    0.9729    0.6939   0.01809  0.002603         0
     94/99     8.69G   0.01647  0.003214         0   0.01968        15       320    0.9372    0.9194    0.9728     0.693   0.01811  0.002606         0
     95/99     8.69G   0.01648  0.003183         0   0.01967         4       320    0.9372    0.9194    0.9728    0.6929   0.01812  0.002609         0
     96/99     8.69G   0.01632  0.003165         0   0.01948        19       320    0.9355    0.9201    0.9725    0.6926   0.01814  0.002614         0
     97/99     8.69G   0.01644  0.003139         0   0.01958         5       320    0.9341    0.9205    0.9721    0.6927   0.01817  0.002618         0
     98/99     8.69G   0.01611  0.003157         0   0.01926        13       320    0.9239    0.9299    0.9718    0.6918   0.01819  0.002623         0
     99/99     8.69G    0.0163   0.00313         0   0.01943        13       320    0.9338    0.9197    0.9715     0.692    0.0182  0.002626         0
