     87/99     2.21G   0.03499  0.009845   0.00655   0.05139        56       320    0.7505    0.5617    0.6394    0.4107   0.05563   0.01453   0.01634
     88/99     2.21G    0.0347    0.0098  0.006445   0.05094        41       320    0.7519    0.5617    0.6401    0.4107   0.05559   0.01454   0.01632
     89/99     2.21G   0.03457  0.009728  0.006401    0.0507        13       320    0.7528    0.5621    0.6405    0.4117   0.05554   0.01455    0.0163
     90/99     2.21G   0.03462  0.009686  0.006386   0.05069        20       320    0.7056    0.5899     0.641    0.4123    0.0555   0.01456   0.01628
     91/99     2.21G   0.03446   0.00973  0.006332   0.05053        87       320    0.7059    0.5908    0.6418    0.4132   0.05546   0.01457   0.01626
     92/99     2.21G   0.03447  0.009628  0.006345   0.05045        29       320    0.7073    0.5896    0.6426    0.4135   0.05542   0.01458   0.01623
     93/99     2.21G   0.03455  0.009656  0.006287   0.05049        48       320    0.7337    0.5755    0.6434    0.4142   0.05537   0.01459   0.01622
     94/99     2.21G   0.03462  0.009733  0.006345    0.0507        75       320    0.7091    0.5919    0.6442    0.4147   0.05533    0.0146    0.0162
     95/99     2.21G   0.03429  0.009596  0.006262   0.05014        57       320    0.7294    0.5802    0.6447    0.4151   0.05528   0.01461   0.01618
     96/99     2.21G   0.03437  0.009652  0.006146   0.05017        47       320    0.7123    0.5917    0.6452    0.4157   0.05524   0.01462   0.01617
     97/99     2.21G   0.03435  0.009662   0.00617   0.05018        29       320    0.7205     0.587    0.6457     0.416   0.05519   0.01462   0.01615
     98/99     2.21G    0.0343  0.009615  0.006253   0.05017        49       320    0.7214     0.588    0.6463    0.4162   0.05515   0.01463   0.01614
     99/99     2.21G   0.03429  0.009597  0.006178   0.05006        68       320    0.7245    0.5866    0.6469    0.4172   0.05511   0.01464   0.01611
